,id,pair,cue,target,cond,group,guess,phase,corr,corr_g,c2t,c2g,t2g,finguess,intrusions
1717,28,38,wood,fear,0,B,,2,1,,0.18111432,,,,
1718,28,39,yearn,cards,0,B,,1,0,,0.06786431,,,,0.0
1719,28,40,pork,beef,0,B,pork beef,2,1,0.0,0.84590256,,,beef,0.0
1720,28,41,prism,hurry,2,B,prism hurry,2,0,0.0,-0.036625378,,,charm,0.0
1721,28,42,tired,bored,2,B,tired bored,2,1,0.0,0.7057688,,,bored,0.0
1722,28,43,yolk,money,0,B,,2,1,,0.015234128,,,,
1723,28,44,slurp,west,2,B,slurp west,2,0,0.0,-0.084954344,,,na,0.0
1724,28,45,rude,dish,2,B,rude dish,2,1,0.0,0.18629928,,,dish,0.0
1725,28,46,doze,plus,2,B,sleep,2,0,0.0,0.020389317,0.5591707825660706,0.2367756962776184,na,0.0
1726,28,47,heavy,duty,2,B,heavy duty,2,1,0.0,0.492564,,,duty,0.0
1727,28,48,seize,bee,0,B,,2,0,,0.08214486,,,,
1728,28,49,town,god,0,B,,2,0,,0.2290586,,,,
1729,28,50,last,day,0,B,,2,1,,0.6838184,,,,
1730,28,51,force,happy,2,B,force happy,2,0,0.0,0.26116312,,,smile,0.0
1731,28,52,task,alone,0,B,,2,0,,0.3995754,,,,
1732,28,53,scarf,silk,2,B,silk scarf,2,1,0.0,0.63188416,,,silk,0.0
1733,28,54,pack,full,2,B,pack full,2,1,0.0,0.40528598,,,full,0.0
1734,28,55,going,there,0,B,,2,1,,0.7492553,,,,
1735,28,56,honor,month,2,B,honor month,2,0,0.0,0.26787153,,,na,0.0
1736,28,57,gin,sharp,0,B,,2,1,,0.16577865,,,,
1737,28,58,royal,hotel,0,B,,2,1,,0.34354278,,,,
1738,28,59,mend,hot,0,B,,2,0,,0.094790205,,,,
1739,28,60,vine,navy,2,B,vine navy,2,0,0.0,0.12478929,,,na,0.0
1740,29,1,bus,hurt,2,B,train,1,0,1.0,0.25217578,0.6478865146636963,0.2862403690814972,train,0.0
1741,29,2,croak,top,2,B,bottom,1,0,0.0,-0.12875935,0.01764407940208912,0.6899482011795044,,0.0
1742,29,3,court,jail,0,B,,1,0,,0.566291,,,,0.0
1743,29,4,vivid,sit,0,B,,1,0,,0.13455118,,,,0.0
1744,29,5,year,minor,0,B,,1,0,,0.2496387,,,,0.0
1745,29,6,essay,glue,0,B,,1,0,,0.015665948,,,,0.0
1746,29,7,snow,road,0,B,,1,1,,0.44269753,,,,0.0
1747,29,8,bay,beach,2,B,sand,1,0,1.0,0.5876903,0.43024924397468567,0.6388939023017883,sand,1.0
1748,29,9,learn,find,0,B,,1,0,,0.62303567,,,,0.0
1749,29,10,just,need,0,B,,1,0,,0.6575736,,,,0.0
1750,29,11,tile,sand,2,B,square,1,0,0.0,0.39506063,0.4419025778770447,0.3101460635662079,panel,0.0
1751,29,12,cabin,jelly,2,B,room,1,0,0.0,0.061660893,0.5815879106521606,0.13665282726287842,door,0.0
1752,29,13,many,all,0,B,,1,0,,0.7478515,,,,0.0
1753,29,14,sap,laugh,2,B,happy,1,0,0.0,0.08919973,0.09166313707828522,0.6000032424926758,,0.0
1754,29,15,inch,cover,0,B,,1,0,,0.23288062,,,,0.0
1755,29,16,bike,paint,0,B,,1,0,,0.31452736,,,,0.0
1756,29,17,baby,toy,0,B,milk,1,1,0.0,0.5090242,0.4552461504936218,0.2678615152835846,,0.0
1757,29,18,pious,add,2,B,small,1,0,0.0,-0.005233292,0.12201658636331558,0.35113874077796936,,1.0
1758,29,19,write,step,0,B,,1,0,,0.36689934,,,,0.0
1759,29,20,fairy,paper,0,B,god,1,1,0.0,0.25410262,0.3712993264198303,0.08686904609203339,paper,0.0
1760,29,21,think,know,2,B,brain,1,0,0.0,0.88507104,0.34277528524398804,0.3766034245491028,,0.0
1761,29,22,wart,news,0,B,,1,0,,-0.0072534606,,,,0.0
1762,29,23,mild,track,0,B,run,1,0,0.0,0.10546857,0.19250942766666412,0.4382275640964508,spicy,0.0
1763,29,24,night,show,2,B,moon,1,1,0.0,0.5008233,0.4143187403678894,0.27601078152656555,show,0.0
1764,29,25,best,great,2,B,good,1,1,0.0,0.70658535,0.7089218497276306,0.8416708111763,,0.0
1765,29,26,wrong,kill,2,B,,1,0,0.0,0.45672953,,,right,0.0
1766,29,27,jog,rent,0,B,,1,0,,0.08143854,,,,0.0
1767,29,28,acorn,minus,0,B,,1,0,,0.08931689,,,,0.0
1768,29,29,dent,fire,0,B,,1,0,,0.17562199,,,,0.0
1769,29,30,cent,art,0,B,penny,1,0,0.0,0.072835386,0.4127328097820282,0.17084574699401855,dent,0.0
